Year,Trip Number,ADFG Number,Vessel Name,Sampler Name,Sample Date,Project Code,Project,Delivery Code,Delivery,Sample Type Code,Sample Type,Groundfish Stat Area,Groundfish Stat Area Group,Groundfish Management Area Code,Lingcod Management Area Code,Species Code,Species,Specimen Number,Length Type Code,Length Type,Length Millimeters,Weight Kilograms,Sex Code,Sex,Maturity Code,Maturity,Age,Age Readability Code,Age Readability
2022,2,75524,PIRATE,"Erica Ebert, Rhea Ehresmann, Willa Johnson",5/19/2022 9:11,604,Commercial Jig Trip,4,Gutted only,1,Random,,,CSEO,,130,Lingcod greenling,15,1,Tip of snout to fork of tail,890,7.1,1,Male,9,Not observed,13,2,Comfortably Sure
2022,2,75524,PIRATE,"Erica Ebert, Rhea Ehresmann, Willa Johnson",5/19/2022 9:11,604,Commercial Jig Trip,4,Gutted only,1,Random,,,CSEO,,130,Lingcod greenling,16,1,Tip of snout to fork of tail,760,3.63,99,Indiscernible,9,Not observed,7,2,Comfortably Sure
2022,2,75524,PIRATE,"Erica Ebert, Rhea Ehresmann, Willa Johnson",5/19/2022 9:11,604,Commercial Jig Trip,4,Gutted only,1,Random,,,CSEO,,130,Lingcod greenling,17,1,Tip of snout to fork of tail,1000,7.53,2,Female,9,Not observed,13,4,Somewhat Unsure
2022,2,75524,PIRATE,"Erica Ebert, Rhea Ehresmann, Willa Johnson",5/19/2022 9:11,604,Commercial Jig Trip,4,Gutted only,1,Random,,,CSEO,,130,Lingcod greenling,18,1,Tip of snout to fork of tail,870,5.66,2,Female,9,Not observed,8,2,Comfortably Sure
2022,2,75524,PIRATE,"Erica Ebert, Rhea Ehresmann, Willa Johnson",5/19/2022 9:11,604,Commercial Jig Trip,4,Gutted only,1,Random,,,CSEO,,130,Lingcod greenling,19,1,Tip of snout to fork of tail,840,5.19,2,Female,9,Not observed,9,2,Comfortably Sure
2022,2,75524,PIRATE,"Erica Ebert, Rhea Ehresmann, Willa Johnson",5/19/2022 9:11,604,Commercial Jig Trip,4,Gutted only,1,Random,,,CSEO,,130,Lingcod greenling,20,1,Tip of snout to fork of tail,700,3.25,1,Male,9,Not observed,7,2,Comfortably Sure
2022,2,75524,PIRATE,"Erica Ebert, Rhea Ehresmann, Willa Johnson",5/19/2022 9:11,604,Commercial Jig Trip,4,Gutted only,1,Random,,,CSEO,,130,Lingcod greenling,21,1,Tip of snout to fork of tail,830,5.54,1,Male,9,Not observed,12,1,Very Sure
2022,2,75524,PIRATE,"Erica Ebert, Rhea Ehresmann, Willa Johnson",5/19/2022 9:11,604,Commercial Jig Trip,4,Gutted only,1,Random,,,CSEO,,130,Lingcod greenling,22,1,Tip of snout to fork of tail,1090,9.41,2,Female,9,Not observed,13,2,Comfortably Sure
2022,2,75524,PIRATE,"Erica Ebert, Rhea Ehresmann, Willa Johnson",5/19/2022 9:11,604,Commercial Jig Trip,4,Gutted only,1,Random,,,CSEO,,130,Lingcod greenling,23,1,Tip of snout to fork of tail,810,4.19,2,Female,9,Not observed,7,2,Comfortably Sure
2022,2,75524,PIRATE,"Erica Ebert, Rhea Ehresmann, Willa Johnson",5/19/2022 9:11,604,Commercial Jig Trip,4,Gutted only,1,Random,,,CSEO,,130,Lingcod greenling,24,1,Tip of snout to fork of tail,720,3.15,2,Female,9,Not observed,5,2,Comfortably Sure
2022,2,75524,PIRATE,"Erica Ebert, Rhea Ehresmann, Willa Johnson",5/19/2022 9:11,604,Commercial Jig Trip,4,Gutted only,1,Random,,,CSEO,,130,Lingcod greenling,25,1,Tip of snout to fork of tail,710,2.99,1,Male,9,Not observed,5,2,Comfortably Sure
2022,2,75524,PIRATE,"Erica Ebert, Rhea Ehresmann, Willa Johnson",5/19/2022 9:11,604,Commercial Jig Trip,4,Gutted only,1,Random,,,CSEO,,130,Lingcod greenling,26,1,Tip of snout to fork of tail,700,3.02,1,Male,9,Not observed,9,2,Comfortably Sure
2022,2,75524,PIRATE,"Erica Ebert, Rhea Ehresmann, Willa Johnson",5/19/2022 9:11,604,Commercial Jig Trip,4,Gutted only,1,Random,,,CSEO,,130,Lingcod greenling,27,1,Tip of snout to fork of tail,730,3.46,1,Male,9,Not observed,8,2,Comfortably Sure
2022,2,75524,PIRATE,"Erica Ebert, Rhea Ehresmann, Willa Johnson",5/19/2022 9:11,604,Commercial Jig Trip,4,Gutted only,1,Random,,,CSEO,,130,Lingcod greenling,28,1,Tip of snout to fork of tail,690,2.68,1,Male,9,Not observed,9,3,Fairly Sure
2022,2,75524,PIRATE,"Erica Ebert, Rhea Ehresmann, Willa Johnson",5/19/2022 9:11,604,Commercial Jig Trip,4,Gutted only,1,Random,,,CSEO,,130,Lingcod greenling,29,1,Tip of snout to fork of tail,730,3.12,2,Female,9,Not observed,7,2,Comfortably Sure
2022,2,75524,PIRATE,"Erica Ebert, Rhea Ehresmann, Willa Johnson",5/19/2022 9:11,604,Commercial Jig Trip,4,Gutted only,1,Random,,,CSEO,,130,Lingcod greenling,30,1,Tip of snout to fork of tail,740,3.68,1,Male,9,Not observed,7,2,Comfortably Sure
2022,2,75524,PIRATE,"Erica Ebert, Rhea Ehresmann, Willa Johnson",5/19/2022 9:11,604,Commercial Jig Trip,4,Gutted only,1,Random,,,CSEO,,130,Lingcod greenling,31,1,Tip of snout to fork of tail,740,3.16,2,Female,9,Not observed,7,2,Comfortably Sure
2022,2,75524,PIRATE,"Erica Ebert, Rhea Ehresmann, Willa Johnson",5/19/2022 9:11,604,Commercial Jig Trip,4,Gutted only,1,Random,,,CSEO,,130,Lingcod greenling,32,1,Tip of snout to fork of tail,770,3.76,2,Female,9,Not observed,6,2,Comfortably Sure
2022,2,75524,PIRATE,"Erica Ebert, Rhea Ehresmann, Willa Johnson",5/19/2022 9:11,604,Commercial Jig Trip,4,Gutted only,1,Random,,,CSEO,,130,Lingcod greenling,33,1,Tip of snout to fork of tail,720,3.09,2,Female,9,Not observed,6,1,Very Sure
2022,2,75524,PIRATE,"Erica Ebert, Rhea Ehresmann, Willa Johnson",5/19/2022 9:11,604,Commercial Jig Trip,4,Gutted only,1,Random,,,CSEO,,130,Lingcod greenling,34,1,Tip of snout to fork of tail,710,3.09,1,Male,9,Not observed,7,1,Very Sure
2022,2,75524,PIRATE,"Erica Ebert, Rhea Ehresmann, Willa Johnson",5/19/2022 9:11,604,Commercial Jig Trip,4,Gutted only,1,Random,,,CSEO,,130,Lingcod greenling,35,1,Tip of snout to fork of tail,700,2.6,1,Male,9,Not observed,6,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,1,1,Tip of snout to fork of tail,990,3.76,2,Female,9,Not observed,9,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,2,1,Tip of snout to fork of tail,760,4.04,1,Male,9,Not observed,6,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,3,1,Tip of snout to fork of tail,720,3.2,1,Male,9,Not observed,6,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,4,1,Tip of snout to fork of tail,660,2.47,1,Male,9,Not observed,6,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,5,1,Tip of snout to fork of tail,770,4.55,1,Male,9,Not observed,7,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,6,1,Tip of snout to fork of tail,740,3.57,1,Male,9,Not observed,6,3,Fairly Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,7,1,Tip of snout to fork of tail,840,5.3,1,Male,9,Not observed,12,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,8,1,Tip of snout to fork of tail,890,5.98,2,Female,9,Not observed,7,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,9,1,Tip of snout to fork of tail,830,5,1,Male,9,Not observed,11,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,10,1,Tip of snout to fork of tail,900,6.13,1,Male,9,Not observed,15,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,11,1,Tip of snout to fork of tail,830,4.8,1,Male,9,Not observed,12,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,12,1,Tip of snout to fork of tail,700,3.5,2,Female,9,Not observed,8,4,Somewhat Unsure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,13,1,Tip of snout to fork of tail,720,3.44,1,Male,9,Not observed,7,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,14,1,Tip of snout to fork of tail,700,2.93,1,Male,9,Not observed,7,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,15,1,Tip of snout to fork of tail,690,2.86,1,Male,9,Not observed,7,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,16,1,Tip of snout to fork of tail,790,4.66,2,Female,9,Not observed,10,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,17,1,Tip of snout to fork of tail,690,2.95,1,Male,9,Not observed,6,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,18,1,Tip of snout to fork of tail,770,3.99,2,Female,9,Not observed,8,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,19,1,Tip of snout to fork of tail,790,4.5,2,Female,9,Not observed,6,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,20,1,Tip of snout to fork of tail,700,2.94,1,Male,9,Not observed,9,3,Fairly Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,21,1,Tip of snout to fork of tail,830,5.13,1,Male,9,Not observed,12,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,22,1,Tip of snout to fork of tail,730,3.17,1,Male,9,Not observed,7,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,23,1,Tip of snout to fork of tail,700,3.08,1,Male,9,Not observed,9,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,24,1,Tip of snout to fork of tail,1110,12.27,2,Female,9,Not observed,18,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,25,1,Tip of snout to fork of tail,710,3.01,1,Male,9,Not observed,9,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,26,1,Tip of snout to fork of tail,700,2.93,2,Female,9,Not observed,6,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,27,1,Tip of snout to fork of tail,740,3.71,1,Male,9,Not observed,6,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,28,1,Tip of snout to fork of tail,730,3.04,2,Female,9,Not observed,5,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,29,1,Tip of snout to fork of tail,700,3.06,1,Male,9,Not observed,7,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,30,1,Tip of snout to fork of tail,860,5.76,1,Male,9,Not observed,10,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,31,1,Tip of snout to fork of tail,830,4.88,1,Male,9,Not observed,14,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,32,1,Tip of snout to fork of tail,790,4.35,1,Male,9,Not observed,9,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,33,1,Tip of snout to fork of tail,760,2.74,1,Male,9,Not observed,5,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,34,1,Tip of snout to fork of tail,860,5.5,1,Male,9,Not observed,8,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,35,1,Tip of snout to fork of tail,820,4.81,1,Male,9,Not observed,11,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,36,1,Tip of snout to fork of tail,740,4.04,1,Male,9,Not observed,8,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,37,1,Tip of snout to fork of tail,770,4.16,1,Male,9,Not observed,7,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,38,1,Tip of snout to fork of tail,760,3.82,1,Male,9,Not observed,6,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,39,1,Tip of snout to fork of tail,680,2.74,1,Male,9,Not observed,6,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,40,1,Tip of snout to fork of tail,800,4.22,2,Female,9,Not observed,6,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,41,1,Tip of snout to fork of tail,750,3.58,1,Male,9,Not observed,6,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,42,1,Tip of snout to fork of tail,900,7.07,2,Female,9,Not observed,12,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,43,1,Tip of snout to fork of tail,740,3.11,2,Female,9,Not observed,6,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,44,1,Tip of snout to fork of tail,840,5.21,1,Male,9,Not observed,12,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,45,1,Tip of snout to fork of tail,870,5.93,1,Male,9,Not observed,10,2,Comfortably Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,46,1,Tip of snout to fork of tail,720,3.26,1,Male,9,Not observed,6,3,Fairly Sure
2022,3,32888,ALBEE ROSE,"Erica Ebert, Willa Johnson",5/20/2022 8:30,604,Commercial Jig Trip,4,Gutted only,1,Random,385800,,EYKT,EYKT,130,Lingcod greenling,47,1,Tip of snout to fork of tail,820,4.73,2,Female,9,Not observed,7,2,Comfortably Sure
